Epoch 1: Train MSE=0.002050, Val MSE=0.001921, Train PSNR=27.70 dB, Val PSNR=27.96 dB, Train SSIM=0.5682, Val SSIM=0.5768, Iter Train=154.0, Iter Val=139.0, Time Epoch=692.41 sec
Epoch 2: Train MSE=0.002016, Val MSE=0.002001, Train PSNR=27.76 dB, Val PSNR=27.81 dB, Train SSIM=0.5764, Val SSIM=0.5801, Iter Train=138.0, Iter Val=137.0, Time Epoch=656.02 sec
Epoch 3: Train MSE=0.002034, Val MSE=0.001974, Train PSNR=27.72 dB, Val PSNR=27.94 dB, Train SSIM=0.5847, Val SSIM=0.5907, Iter Train=237.0, Iter Val=255.0, Time Epoch=932.02 sec
Epoch 4: Train MSE=0.002129, Val MSE=0.002070, Train PSNR=27.47 dB, Val PSNR=27.66 dB, Train SSIM=0.5891, Val SSIM=0.5953, Iter Train=138.0, Iter Val=144.0, Time Epoch=759.10 sec
Epoch 5: Train MSE=0.002006, Val MSE=0.001939, Train PSNR=27.89 dB, Val PSNR=27.93 dB, Train SSIM=0.6043, Val SSIM=0.6071, Iter Train=201.0, Iter Val=150.0, Time Epoch=1224.24 sec
Epoch 6: Train MSE=0.001976, Val MSE=0.001911, Train PSNR=27.91 dB, Val PSNR=27.98 dB, Train SSIM=0.6098, Val SSIM=0.6135, Iter Train=138.0, Iter Val=163.0, Time Epoch=899.69 sec
Epoch 7: Train MSE=0.002020, Val MSE=0.001899, Train PSNR=27.75 dB, Val PSNR=27.96 dB, Train SSIM=0.6134, Val SSIM=0.6183, Iter Train=156.0, Iter Val=140.0, Time Epoch=629.44 sec
Epoch 8: Train MSE=0.001966, Val MSE=0.001852, Train PSNR=27.87 dB, Val PSNR=28.07 dB, Train SSIM=0.6194, Val SSIM=0.6239, Iter Train=138.0, Iter Val=136.0, Time Epoch=639.81 sec
Epoch 9: Train MSE=0.001968, Val MSE=0.001899, Train PSNR=27.86 dB, Val PSNR=27.95 dB, Train SSIM=0.6231, Val SSIM=0.6258, Iter Train=148.0, Iter Val=141.0, Time Epoch=673.73 sec
Epoch 10: Train MSE=0.001977, Val MSE=0.001894, Train PSNR=27.82 dB, Val PSNR=27.97 dB, Train SSIM=0.6253, Val SSIM=0.6275, Iter Train=125.0, Iter Val=140.0, Time Epoch=648.03 sec
Epoch 11: Train MSE=0.001964, Val MSE=0.001861, Train PSNR=27.86 dB, Val PSNR=28.05 dB, Train SSIM=0.6275, Val SSIM=0.6294, Iter Train=147.0, Iter Val=139.0, Time Epoch=640.87 sec
Epoch 12: Train MSE=0.001921, Val MSE=0.001840, Train PSNR=27.97 dB, Val PSNR=28.09 dB, Train SSIM=0.6300, Val SSIM=0.6314, Iter Train=136.0, Iter Val=138.0, Time Epoch=674.79 sec
Epoch 13: Train MSE=0.001906, Val MSE=0.001813, Train PSNR=28.01 dB, Val PSNR=28.17 dB, Train SSIM=0.6316, Val SSIM=0.6330, Iter Train=141.0, Iter Val=140.0, Time Epoch=718.51 sec
Epoch 14: Train MSE=0.001873, Val MSE=0.001802, Train PSNR=28.10 dB, Val PSNR=28.20 dB, Train SSIM=0.6334, Val SSIM=0.6342, Iter Train=146.0, Iter Val=141.0, Time Epoch=692.46 sec
Epoch 15: Train MSE=0.001873, Val MSE=0.001799, Train PSNR=28.11 dB, Val PSNR=28.20 dB, Train SSIM=0.6343, Val SSIM=0.6351, Iter Train=146.0, Iter Val=141.0, Time Epoch=691.46 sec
Epoch 16: Train MSE=0.001863, Val MSE=0.001780, Train PSNR=28.13 dB, Val PSNR=28.26 dB, Train SSIM=0.6352, Val SSIM=0.6362, Iter Train=151.0, Iter Val=144.0, Time Epoch=738.07 sec
Epoch 17: Train MSE=0.001843, Val MSE=0.001772, Train PSNR=28.19 dB, Val PSNR=28.29 dB, Train SSIM=0.6363, Val SSIM=0.6370, Iter Train=161.0, Iter Val=144.0, Time Epoch=686.50 sec
